transaction_id,date,selling_entity_id,selling_entity_name,buying_entity_id,buying_entity_name,description,amount,gl_account
IC-202512-001,2025-12-21,dataanalytics_corp,DataAnalytics Corp,precisionmfg_inc,PrecisionMfg Inc,Management Fees,32506.16478685237,7000
IC-202512-002,2025-12-15,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Shared Services,89234.35240661488,6500
IC-202512-003,2025-12-19,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Inventory/Supplies,221658.2671106212,5000
IC-202512-004,2025-12-03,dataanalytics_corp,DataAnalytics Corp,industrialsupply_co,IndustrialSupply Co,Software Licenses,16805.981435111993,7000
IC-202512-005,2025-12-21,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Management Fees,46038.539841550555,7000
IC-202512-006,2025-12-16,retailco,RetailCo,industrialsupply_co,IndustrialSupply Co,Shared Services,45738.96238866223,6500
IC-202512-007,2025-12-21,precisionmfg_inc,PrecisionMfg Inc,logisticspro,LogisticsPro,Inventory/Supplies,53574.70616726316,5000
IC-202512-008,2025-12-03,retailco,RetailCo,industrialsupply_co,IndustrialSupply Co,Software Licenses,13075.132209566931,7000
IC-202512-009,2025-12-25,precisionmfg_inc,PrecisionMfg Inc,techforge_saas,TechForge SaaS,Management Fees,15602.582374357458,7000
IC-202512-010,2025-12-08,industrialsupply_co,IndustrialSupply Co,logisticspro,LogisticsPro,Shared Services,28782.636293632357,6500
IC-202512-011,2025-12-26,retailco,RetailCo,dataanalytics_corp,DataAnalytics Corp,Inventory/Supplies,123662.07641734634,5000
IC-202512-012,2025-12-23,precisionmfg_inc,PrecisionMfg Inc,logisticspro,LogisticsPro,Software Licenses,23902.35014685092,7000
IC-202512-013,2025-12-26,logisticspro,LogisticsPro,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,49345.70124131247,7000
IC-202512-014,2025-12-18,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Shared Services,78450.9537010302,6500
IC-202512-015,2025-12-17,dataanalytics_corp,DataAnalytics Corp,healthservices_plus,HealthServices Plus,Inventory/Supplies,190917.20642667005,5000
IC-202512-016,2025-12-09,precisionmfg_inc,PrecisionMfg Inc,industrialsupply_co,IndustrialSupply Co,Software Licenses,16349.717555671925,7000
IC-202512-017,2025-12-09,precisionmfg_inc,PrecisionMfg Inc,healthservices_plus,HealthServices Plus,Management Fees,15722.427288188308,7000
IC-202512-018,2025-12-13,ecopackaging_ltd,EcoPackaging Ltd,retailco,RetailCo,Shared Services,35441.19883245589,6500
IC-202512-019,2025-12-06,logisticspro,LogisticsPro,retailco,RetailCo,Inventory/Supplies,246408.9245572768,5000
IC-202512-020,2025-12-19,healthservices_plus,HealthServices Plus,logisticspro,LogisticsPro,Software Licenses,23803.521266021133,7000
IC-202512-021,2025-12-11,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Management Fees,19693.02920985286,7000
IC-202512-022,2025-12-03,techforge_saas,TechForge SaaS,industrialsupply_co,IndustrialSupply Co,Shared Services,98472.52466321037,6500
IC-202512-023,2025-12-14,logisticspro,LogisticsPro,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,79022.14709632103,5000
IC-202512-024,2025-12-26,dataanalytics_corp,DataAnalytics Corp,ecopackaging_ltd,EcoPackaging Ltd,Software Licenses,14021.521436497193,7000
IC-202512-025,2025-12-22,retailco,RetailCo,healthservices_plus,HealthServices Plus,Management Fees,16163.029298923339,7000
IC-202512-026,2025-12-06,retailco,RetailCo,precisionmfg_inc,PrecisionMfg Inc,Shared Services,40176.004049353025,6500
IC-202512-027,2025-12-07,healthservices_plus,HealthServices Plus,logisticspro,LogisticsPro,Inventory/Supplies,90454.63634840607,5000
IC-202512-028,2025-12-26,industrialsupply_co,IndustrialSupply Co,retailco,RetailCo,Software Licenses,19135.305637232625,7000
IC-202512-029,2025-12-09,ecopackaging_ltd,EcoPackaging Ltd,logisticspro,LogisticsPro,Management Fees,44511.541826855624,7000
IC-202512-030,2025-12-22,healthservices_plus,HealthServices Plus,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,21484.666921882046,6500
IC-202512-031,2025-12-26,techforge_saas,TechForge SaaS,logisticspro,LogisticsPro,Inventory/Supplies,205318.17919666425,5000
IC-202512-032,2025-12-11,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Software Licenses,19440.422867200577,7000
IC-202512-033,2025-12-10,logisticspro,LogisticsPro,techforge_saas,TechForge SaaS,Management Fees,37898.450689069075,7000
IC-202512-034,2025-12-15,precisionmfg_inc,PrecisionMfg Inc,techforge_saas,TechForge SaaS,Shared Services,60535.2960805039,6500
IC-202512-035,2025-12-08,retailco,RetailCo,dataanalytics_corp,DataAnalytics Corp,Inventory/Supplies,75762.61475259763,5000
IC-202512-036,2025-12-12,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Software Licenses,20871.823944046468,7000
IC-202512-037,2025-12-11,dataanalytics_corp,DataAnalytics Corp,precisionmfg_inc,PrecisionMfg Inc,Management Fees,26450.20751641316,7000
IC-202512-038,2025-12-18,ecopackaging_ltd,EcoPackaging Ltd,industrialsupply_co,IndustrialSupply Co,Shared Services,87680.27387179175,6500
IC-202512-039,2025-12-20,logisticspro,LogisticsPro,retailco,RetailCo,Inventory/Supplies,70046.37563525722,5000
IC-202512-040,2025-12-27,techforge_saas,TechForge SaaS,dataanalytics_corp,DataAnalytics Corp,Software Licenses,19632.15888737048,7000
IC-202512-041,2025-12-19,techforge_saas,TechForge SaaS,healthservices_plus,HealthServices Plus,Management Fees,29261.57790786298,7000
IC-202512-042,2025-12-10,precisionmfg_inc,PrecisionMfg Inc,industrialsupply_co,IndustrialSupply Co,Shared Services,83373.53089823716,6500
IC-202512-043,2025-12-19,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,90492.43672776628,5000
IC-202512-044,2025-12-19,techforge_saas,TechForge SaaS,industrialsupply_co,IndustrialSupply Co,Software Licenses,16898.32041837743,7000
IC-202512-045,2025-12-21,retailco,RetailCo,industrialsupply_co,IndustrialSupply Co,Management Fees,46928.353434887606,7000
IC-202512-046,2025-12-22,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Shared Services,88664.75524056384,6500
IC-202512-047,2025-12-12,healthservices_plus,HealthServices Plus,logisticspro,LogisticsPro,Inventory/Supplies,235823.27053826512,5000
IC-202512-048,2025-12-11,retailco,RetailCo,precisionmfg_inc,PrecisionMfg Inc,Software Licenses,13071.407848992028,7000
IC-202512-049,2025-12-27,retailco,RetailCo,techforge_saas,TechForge SaaS,Management Fees,30946.895999959408,7000
IC-202512-050,2025-12-27,retailco,RetailCo,techforge_saas,TechForge SaaS,Shared Services,52924.45972360219,6500
IC-202512-051,2025-12-27,techforge_saas,TechForge SaaS,logisticspro,LogisticsPro,Inventory/Supplies,162223.94835754868,5000
IC-202512-052,2025-12-05,ecopackaging_ltd,EcoPackaging Ltd,logisticspro,LogisticsPro,Software Licenses,21984.3828938821,7000
IC-202512-053,2025-12-12,dataanalytics_corp,DataAnalytics Corp,precisionmfg_inc,PrecisionMfg Inc,Management Fees,33524.20792967992,7000
IC-202512-054,2025-12-16,techforge_saas,TechForge SaaS,healthservices_plus,HealthServices Plus,Shared Services,61015.045786304916,6500
IC-202512-055,2025-12-04,retailco,RetailCo,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,58401.15348376238,5000
IC-202512-056,2025-12-20,industrialsupply_co,IndustrialSupply Co,dataanalytics_corp,DataAnalytics Corp,Software Licenses,8818.977177508857,7000
IC-202512-057,2025-12-07,retailco,RetailCo,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,20693.181934507076,7000
IC-202512-058,2025-12-09,ecopackaging_ltd,EcoPackaging Ltd,dataanalytics_corp,DataAnalytics Corp,Shared Services,44893.35718171486,6500
IC-202512-059,2025-12-24,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Inventory/Supplies,119272.70062169885,5000
IC-202512-060,2025-12-19,industrialsupply_co,IndustrialSupply Co,dataanalytics_corp,DataAnalytics Corp,Software Licenses,18023.846163017217,7000
IC-202512-061,2025-12-16,healthservices_plus,HealthServices Plus,industrialsupply_co,IndustrialSupply Co,Management Fees,24295.056137918495,7000
IC-202512-062,2025-12-25,industrialsupply_co,IndustrialSupply Co,dataanalytics_corp,DataAnalytics Corp,Shared Services,24893.7404132755,6500
IC-202512-063,2025-12-13,dataanalytics_corp,DataAnalytics Corp,precisionmfg_inc,PrecisionMfg Inc,Inventory/Supplies,187725.46045899962,5000
IC-202512-064,2025-12-15,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Software Licenses,24786.665736565505,7000
IC-202512-065,2025-12-02,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Management Fees,14163.038256729878,7000
IC-202512-066,2025-12-17,industrialsupply_co,IndustrialSupply Co,logisticspro,LogisticsPro,Shared Services,33795.28634345846,6500
IC-202512-067,2025-12-07,industrialsupply_co,IndustrialSupply Co,precisionmfg_inc,PrecisionMfg Inc,Inventory/Supplies,53631.59312141577,5000
IC-202512-068,2025-12-07,retailco,RetailCo,dataanalytics_corp,DataAnalytics Corp,Software Licenses,18577.56464781193,7000
IC-202512-069,2025-12-18,techforge_saas,TechForge SaaS,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,37526.97746889054,7000
IC-202512-070,2025-12-12,retailco,RetailCo,healthservices_plus,HealthServices Plus,Shared Services,82567.20116988878,6500
IC-202512-071,2025-12-17,industrialsupply_co,IndustrialSupply Co,techforge_saas,TechForge SaaS,Inventory/Supplies,182544.48467363557,5000
IC-202512-072,2025-12-16,techforge_saas,TechForge SaaS,logisticspro,LogisticsPro,Software Licenses,6297.984344634495,7000
IC-202512-073,2025-12-10,industrialsupply_co,IndustrialSupply Co,retailco,RetailCo,Management Fees,33724.51113298909,7000
IC-202512-074,2025-12-27,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,73704.28104748132,6500
IC-202512-075,2025-12-16,ecopackaging_ltd,EcoPackaging Ltd,retailco,RetailCo,Inventory/Supplies,174511.76066432885,5000
IC-202512-076,2025-12-15,techforge_saas,TechForge SaaS,ecopackaging_ltd,EcoPackaging Ltd,Software Licenses,20106.778590079444,7000
IC-202512-077,2025-12-03,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,10992.373201702632,7000
IC-202512-078,2025-12-19,industrialsupply_co,IndustrialSupply Co,precisionmfg_inc,PrecisionMfg Inc,Shared Services,54353.50294818026,6500
IC-202512-079,2025-12-11,techforge_saas,TechForge SaaS,dataanalytics_corp,DataAnalytics Corp,Inventory/Supplies,52072.74446943542,5000
IC-202512-080,2025-12-04,precisionmfg_inc,PrecisionMfg Inc,healthservices_plus,HealthServices Plus,Software Licenses,15875.969896092158,7000
IC-202512-081,2025-12-15,healthservices_plus,HealthServices Plus,precisionmfg_inc,PrecisionMfg Inc,Management Fees,17486.92459707788,7000
IC-202512-082,2025-12-26,precisionmfg_inc,PrecisionMfg Inc,healthservices_plus,HealthServices Plus,Shared Services,20086.9615843946,6500
IC-202512-083,2025-12-24,industrialsupply_co,IndustrialSupply Co,healthservices_plus,HealthServices Plus,Inventory/Supplies,137666.55512287078,5000
IC-202512-084,2025-12-24,dataanalytics_corp,DataAnalytics Corp,techforge_saas,TechForge SaaS,Software Licenses,7275.249249613036,7000
IC-202512-085,2025-12-07,precisionmfg_inc,PrecisionMfg Inc,techforge_saas,TechForge SaaS,Management Fees,40453.986248115696,7000
IC-202512-086,2025-12-22,retailco,RetailCo,techforge_saas,TechForge SaaS,Shared Services,38046.3955328876,6500
IC-202512-087,2025-12-03,dataanalytics_corp,DataAnalytics Corp,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,136570.2213591342,5000
IC-202512-088,2025-12-06,industrialsupply_co,IndustrialSupply Co,logisticspro,LogisticsPro,Software Licenses,7163.207044703644,7000
IC-202512-089,2025-12-18,healthservices_plus,HealthServices Plus,logisticspro,LogisticsPro,Management Fees,36573.39377849111,7000
IC-202512-090,2025-12-15,retailco,RetailCo,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,55407.121865956695,6500
IC-202512-091,2025-12-28,precisionmfg_inc,PrecisionMfg Inc,dataanalytics_corp,DataAnalytics Corp,Inventory/Supplies,112531.26287104389,5000
IC-202512-092,2025-12-23,techforge_saas,TechForge SaaS,logisticspro,LogisticsPro,Software Licenses,21849.560764031296,7000
IC-202512-093,2025-12-08,industrialsupply_co,IndustrialSupply Co,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,36145.42090870916,7000
IC-202512-094,2025-12-17,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Shared Services,39527.565799408185,6500
IC-202512-095,2025-12-18,industrialsupply_co,IndustrialSupply Co,retailco,RetailCo,Inventory/Supplies,136614.90102891304,5000
IC-202512-096,2025-12-27,techforge_saas,TechForge SaaS,dataanalytics_corp,DataAnalytics Corp,Software Licenses,5370.963914488149,7000
IC-202512-097,2025-12-14,retailco,RetailCo,industrialsupply_co,IndustrialSupply Co,Management Fees,49233.73472895594,7000
IC-202512-098,2025-12-25,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Shared Services,45825.15981710746,6500
IC-202512-099,2025-12-11,dataanalytics_corp,DataAnalytics Corp,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,227992.74102744955,5000
IC-202512-100,2025-12-22,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Software Licenses,20157.162441442,7000
IC-202512-101,2025-12-05,ecopackaging_ltd,EcoPackaging Ltd,healthservices_plus,HealthServices Plus,Management Fees,31203.539876576957,7000
IC-202512-102,2025-12-03,dataanalytics_corp,DataAnalytics Corp,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,97036.31628602638,6500
IC-202512-103,2025-12-25,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Inventory/Supplies,138783.33960930794,5000
IC-202512-104,2025-12-09,healthservices_plus,HealthServices Plus,precisionmfg_inc,PrecisionMfg Inc,Software Licenses,12990.129505211286,7000
IC-202512-105,2025-12-10,retailco,RetailCo,techforge_saas,TechForge SaaS,Management Fees,44773.60431629421,7000
IC-202512-106,2025-12-10,dataanalytics_corp,DataAnalytics Corp,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,87885.7927665637,6500
IC-202512-107,2025-12-16,industrialsupply_co,IndustrialSupply Co,retailco,RetailCo,Inventory/Supplies,215779.42239517556,5000
IC-202512-108,2025-12-24,techforge_saas,TechForge SaaS,dataanalytics_corp,DataAnalytics Corp,Software Licenses,19458.301058458706,7000
IC-202512-109,2025-12-22,industrialsupply_co,IndustrialSupply Co,healthservices_plus,HealthServices Plus,Management Fees,48605.62802950745,7000
IC-202512-110,2025-12-27,dataanalytics_corp,DataAnalytics Corp,precisionmfg_inc,PrecisionMfg Inc,Shared Services,48421.37744458668,6500
IC-202512-111,2025-12-05,industrialsupply_co,IndustrialSupply Co,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,175540.08272014797,5000
IC-202512-112,2025-12-09,healthservices_plus,HealthServices Plus,industrialsupply_co,IndustrialSupply Co,Software Licenses,12358.058505725512,7000
IC-202512-113,2025-12-11,logisticspro,LogisticsPro,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,14776.025683052545,7000
IC-202512-114,2025-12-21,techforge_saas,TechForge SaaS,industrialsupply_co,IndustrialSupply Co,Shared Services,28157.46951703388,6500
IC-202512-115,2025-12-15,dataanalytics_corp,DataAnalytics Corp,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,194827.19576652662,5000
IC-202512-116,2025-12-27,healthservices_plus,HealthServices Plus,industrialsupply_co,IndustrialSupply Co,Software Licenses,11747.856624975328,7000
IC-202512-117,2025-12-27,logisticspro,LogisticsPro,precisionmfg_inc,PrecisionMfg Inc,Management Fees,10157.172856888712,7000
IC-202512-118,2025-12-15,industrialsupply_co,IndustrialSupply Co,precisionmfg_inc,PrecisionMfg Inc,Shared Services,71772.7648901566,6500
IC-202512-119,2025-12-05,logisticspro,LogisticsPro,techforge_saas,TechForge SaaS,Inventory/Supplies,98846.02340191684,5000
IC-202512-120,2025-12-16,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Software Licenses,8021.820952107717,7000
IC-202512-121,2025-12-04,ecopackaging_ltd,EcoPackaging Ltd,precisionmfg_inc,PrecisionMfg Inc,Management Fees,38132.21227453512,7000
IC-202512-122,2025-12-23,ecopackaging_ltd,EcoPackaging Ltd,techforge_saas,TechForge SaaS,Shared Services,48978.269115092815,6500
IC-202512-123,2025-12-19,healthservices_plus,HealthServices Plus,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,164598.72882271858,5000
IC-202512-124,2025-12-13,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Software Licenses,11392.960551752496,7000
IC-202512-125,2025-12-25,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Management Fees,49447.2124643478,7000
IC-202512-126,2025-12-05,retailco,RetailCo,logisticspro,LogisticsPro,Shared Services,50501.25752712378,6500
IC-202512-127,2025-12-27,healthservices_plus,HealthServices Plus,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,157699.33014901192,5000
IC-202512-128,2025-12-14,retailco,RetailCo,ecopackaging_ltd,EcoPackaging Ltd,Software Licenses,5569.67621098543,7000
IC-202512-129,2025-12-26,healthservices_plus,HealthServices Plus,dataanalytics_corp,DataAnalytics Corp,Management Fees,18792.02847847695,7000
IC-202512-130,2025-12-26,healthservices_plus,HealthServices Plus,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,95808.20012861777,6500
IC-202512-131,2025-12-08,logisticspro,LogisticsPro,retailco,RetailCo,Inventory/Supplies,235601.7483549108,5000
IC-202512-132,2025-12-24,precisionmfg_inc,PrecisionMfg Inc,techforge_saas,TechForge SaaS,Software Licenses,7132.38545610847,7000
IC-202512-133,2025-12-15,techforge_saas,TechForge SaaS,retailco,RetailCo,Management Fees,25009.645299876593,7000
IC-202512-134,2025-12-27,ecopackaging_ltd,EcoPackaging Ltd,dataanalytics_corp,DataAnalytics Corp,Shared Services,61489.202530826726,6500
IC-202512-135,2025-12-07,industrialsupply_co,IndustrialSupply Co,techforge_saas,TechForge SaaS,Inventory/Supplies,199026.54969967998,5000
IC-202512-136,2025-12-25,ecopackaging_ltd,EcoPackaging Ltd,dataanalytics_corp,DataAnalytics Corp,Software Licenses,17887.923245637314,7000
IC-202512-137,2025-12-16,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,22420.110101979335,7000
IC-202512-138,2025-12-19,retailco,RetailCo,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,37248.72504657523,6500
IC-202512-139,2025-12-17,logisticspro,LogisticsPro,retailco,RetailCo,Inventory/Supplies,99738.36189422703,5000
IC-202512-140,2025-12-17,dataanalytics_corp,DataAnalytics Corp,industrialsupply_co,IndustrialSupply Co,Software Licenses,9789.774291402598,7000
IC-202512-141,2025-12-13,ecopackaging_ltd,EcoPackaging Ltd,industrialsupply_co,IndustrialSupply Co,Management Fees,25364.596449750774,7000
IC-202512-142,2025-12-28,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Shared Services,87702.11637357002,6500
IC-202512-143,2025-12-15,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Inventory/Supplies,108112.70231549107,5000
