account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,3193909.247588045,0.0,3193909.247588045,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1100,Accounts Receivable,4130148.5356758996,0.0,4130148.5356758996,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1150,Allowance for Doubtful Accounts,0.0,38569.95241211771,-38569.95241211771,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1300,Prepaid Expenses,639016.879355162,0.0,639016.879355162,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1400,"Property, Plant & Equipment",10000000.0,0.0,10000000.0,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1450,Accumulated Depreciation,0.0,3750000.0,-3750000.0,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1500,Intangible Assets,7500000.0,0.0,7500000.0,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
1550,Accumulated Amortization,0.0,2000000.0,-2000000.0,Asset,dataanalytics_corp,DataAnalytics Corp,2024-12
2000,Accounts Payable,0.0,1088629.9641169398,-1088629.9641169398,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
2100,Accrued Expenses,0.0,223481.77488564487,-223481.77488564487,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
2150,Accrued Payroll,0.0,225888.10816698484,-225888.10816698484,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
2200,Deferred Revenue,0.0,0.0,0.0,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
2300,Current Portion of Long-term Debt,0.0,46032157.799904436,-46032157.799904436,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
2400,Long-term Debt,0.0,19695024.67695286,-19695024.67695286,Liability,dataanalytics_corp,DataAnalytics Corp,2024-12
3000,Common Stock,0.0,12500000.0,-12500000.0,Equity,dataanalytics_corp,DataAnalytics Corp,2024-12
3100,Retained Earnings,0.0,-60413529.0741265,60413529.0741265,Equity,dataanalytics_corp,DataAnalytics Corp,2024-12
4100,Service Revenue,0.0,1928497.6206058855,-1928497.6206058855,Revenue,dataanalytics_corp,DataAnalytics Corp,2024-12
5300,Cost of Services,674974.1672120598,0.0,674974.1672120598,COGS,dataanalytics_corp,DataAnalytics Corp,2024-12
6000,Salaries and Wages,438733.2086878389,0.0,438733.2086878389,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
6100,Employee Benefits,100281.87627150604,0.0,100281.87627150604,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
6200,Rent,62676.17266969128,0.0,62676.17266969128,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
6300,Utilities,28749.388024834396,0.0,28749.388024834396,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
6400,Insurance,23899.999176074016,0.0,23899.999176074016,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
6500,Professional Fees,30335.082343078288,0.0,30335.082343078288,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
7000,Sales and Marketing,100281.87627150604,0.0,100281.87627150604,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
7100,Advertising,16016.21113821637,0.0,16016.21113821637,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
7200,Travel and Entertainment,38561.37939862674,0.0,38561.37939862674,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
8000,Research and Development,0.0,0.0,0.0,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
9000,Depreciation Expense,37605.70360181476,0.0,37605.70360181476,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
9100,Amortization Expense,37605.70360181476,0.0,37605.70360181476,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
9500,Interest Expense,15925.391902215171,0.0,15925.391902215171,Operating Expense,dataanalytics_corp,DataAnalytics Corp,2024-12
