account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,49420172.37196208,0.0,49420172.37196208,Asset,retailco,RetailCo,2025-11
1100,Accounts Receivable,29077124.155172974,0.0,29077124.155172974,Asset,retailco,RetailCo,2025-11
1150,Allowance for Doubtful Accounts,0.0,364375.4688716373,-364375.4688716373,Asset,retailco,RetailCo,2025-11
1200,Inventory - Raw Materials,10888852.838628938,0.0,10888852.838628938,Asset,retailco,RetailCo,2025-11
1210,Inventory - Work in Process,21575273.21443226,0.0,21575273.21443226,Asset,retailco,RetailCo,2025-11
1220,Inventory - Finished Goods,17128425.28586031,0.0,17128425.28586031,Asset,retailco,RetailCo,2025-11
1300,Prepaid Expenses,2711232.125194852,0.0,2711232.125194852,Asset,retailco,RetailCo,2025-11
1400,"Property, Plant & Equipment",80000000.0,0.0,80000000.0,Asset,retailco,RetailCo,2025-11
1450,Accumulated Depreciation,0.0,30000000.0,-30000000.0,Asset,retailco,RetailCo,2025-11
1500,Intangible Assets,60000000.0,0.0,60000000.0,Asset,retailco,RetailCo,2025-11
1550,Accumulated Amortization,0.0,16000000.0,-16000000.0,Asset,retailco,RetailCo,2025-11
2000,Accounts Payable,0.0,12700418.941318827,-12700418.941318827,Liability,retailco,RetailCo,2025-11
2100,Accrued Expenses,0.0,1947180.6794097854,-1947180.6794097854,Liability,retailco,RetailCo,2025-11
2150,Accrued Payroll,0.0,5135217.822978206,-5135217.822978206,Liability,retailco,RetailCo,2025-11
2200,Deferred Revenue,0.0,0.0,0.0,Liability,retailco,RetailCo,2025-11
2300,Current Portion of Long-term Debt,0.0,177633994.4800051,-177633994.4800051,Liability,retailco,RetailCo,2025-11
2400,Long-term Debt,0.0,298756685.30619454,-298756685.30619454,Liability,retailco,RetailCo,2025-11
3000,Common Stock,0.0,100000000.0,-100000000.0,Equity,retailco,RetailCo,2025-11
3100,Retained Earnings,0.0,-373036109.5085963,373036109.5085963,Equity,retailco,RetailCo,2025-11
4000,Store Revenue,0.0,18218773.443581864,-18218773.443581864,Revenue,retailco,RetailCo,2025-11
5000,Cost of Goods Sold - Materials,3765213.178340252,0.0,3765213.178340252,COGS,retailco,RetailCo,2025-11
5100,Cost of Goods Sold - Labor,3765213.178340252,0.0,3765213.178340252,COGS,retailco,RetailCo,2025-11
5200,Cost of Goods Sold - Overhead,3765213.178340252,0.0,3765213.178340252,COGS,retailco,RetailCo,2025-11
6000,Salaries and Wages,2423096.8679963876,0.0,2423096.8679963876,Operating Expense,retailco,RetailCo,2025-11
6100,Employee Benefits,553850.7126848887,0.0,553850.7126848887,Operating Expense,retailco,RetailCo,2025-11
6200,Rent,346156.6954280555,0.0,346156.6954280555,Operating Expense,retailco,RetailCo,2025-11
6300,Utilities,155552.039907558,0.0,155552.039907558,Operating Expense,retailco,RetailCo,2025-11
6400,Insurance,213251.36117258624,0.0,213251.36117258624,Operating Expense,retailco,RetailCo,2025-11
6500,Professional Fees,220629.2780088261,0.0,220629.2780088261,Operating Expense,retailco,RetailCo,2025-11
7000,Sales and Marketing,553850.7126848887,0.0,553850.7126848887,Operating Expense,retailco,RetailCo,2025-11
7100,Advertising,120422.2250535062,0.0,120422.2250535062,Operating Expense,retailco,RetailCo,2025-11
7200,Travel and Entertainment,337733.90763346775,0.0,337733.90763346775,Operating Expense,retailco,RetailCo,2025-11
8000,Research and Development,0.0,0.0,0.0,Operating Expense,retailco,RetailCo,2025-11
9000,Depreciation Expense,207694.01725683326,0.0,207694.01725683326,Operating Expense,retailco,RetailCo,2025-11
9100,Amortization Expense,207694.01725683326,0.0,207694.01725683326,Operating Expense,retailco,RetailCo,2025-11
9500,Interest Expense,283885.2724076127,0.0,283885.2724076127,Operating Expense,retailco,RetailCo,2025-11
